interconnector_1_price,agriculture_electricity,buildings_appliances,buildings_cooling,weather/buildings_heating,electric_buses,electric_trucks,electric_vans,electric_ships,electric_vehicle_profile_1,electric_vehicle_profile_2,electric_vehicle_profile_3,electric_vehicle_profile_4,electric_vehicle_profile_5,households_appliances,households_cooling,households_hot_water,industry_ict,industry_other_electricity,weather/agriculture_heating,weather/solar_pv_profile_1,weather/solar_thermal,weather/wind_coastal_baseline,weather/wind_inland_baseline
5.45E+00,3.08E-08,3.08E-08,3.08E-08,1.17E-08,5.98E-08,7.74E-09,1.06E-08,4.94E-08,3.18E-08,7.42E-08,3.69E-09,4.06E-08,3.19E-08,3.66E-08,3.66E-08,0,2.78E-08,3.06E-08,1.17E-08,0,0,0.662785999,0.662785999
5.45E+00,3.24E-08,3.23E-08,3.23E-08,1.14E-08,5.12E-08,6.58E-09,8.61E-09,5.13E-08,2.12E-08,5.45E-08,5.35E-09,4.20E-08,2.24E-08,3.21E-08,3.21E-08,0,2.78E-08,3.21E-08,1.14E-08,0,0,0.737758999,0.737758999
1.45E+01,3.19E-08,3.19E-08,3.19E-08,8.88E-09,3.87E-08,6.58E-09,7.71E-09,5.13E-08,1.23E-08,3.71E-08,8.68E-10,3.82E-08,1.39E-08,2.79E-08,2.79E-08,0,2.78E-08,3.17E-08,8.88E-09,0,0,0.767028999,0.767028999
1.00E-02,3.24E-08,3.23E-08,3.23E-08,9.72E-09,4.10E-08,6.58E-09,7.15E-09,5.13E-08,6.77E-09,2.13E-08,2.17E-10,2.95E-08,7.78E-09,2.40E-08,2.40E-08,0,2.75E-08,3.21E-08,9.72E-09,0,0,0.814271999,0.814271999
1.00E-02,3.28E-08,3.27E-08,3.27E-08,9.72E-09,4.27E-08,6.58E-09,6.84E-09,5.13E-08,3.65E-09,1.24E-08,2.17E-10,2.03E-08,4.39E-09,2.04E-08,2.04E-08,0,2.78E-08,3.25E-08,9.72E-09,0,0,0.833140999,0.833140999
1.00E-02,3.29E-08,3.28E-08,3.28E-08,8.61E-09,3.77E-08,6.34E-09,6.61E-09,5.13E-08,1.55E-09,5.87E-09,1.55E-09,1.23E-08,2.12E-09,1.98E-08,1.98E-08,4.41E-08,2.92E-08,3.28E-08,8.61E-09,0,0,0.826974999,0.826974999
1.00E-02,3.31E-08,3.30E-08,3.30E-08,1.42E-08,2.12E-08,6.35E-09,7.32E-09,2.93E-08,2.22E-09,1.63E-09,3.24E-09,7.91E-09,3.77E-09,2.04E-08,2.04E-08,8.50E-08,3.11E-08,3.28E-08,1.42E-08,0,0,0.830966999,0.830966999
1.00E-02,3.39E-08,3.38E-08,3.38E-08,1.50E-08,7.61E-09,6.35E-09,8.46E-09,2.93E-08,9.42E-09,1.50E-09,8.46E-09,2.70E-08,2.54E-08,2.12E-08,2.12E-08,9.35E-08,3.33E-08,3.37E-08,1.50E-08,0,0,0.822684999,0.822684999
1.00E-02,3.39E-08,3.38E-08,3.38E-08,1.22E-08,9.86E-09,7.67E-09,1.22E-08,2.93E-08,2.69E-08,2.91E-09,1.64E-08,5.62E-08,5.40E-08,2.40E-08,2.40E-08,5.44E-08,3.39E-08,3.36E-08,1.22E-08,0,0,0.797949999,0.797949999
0.00E+00,3.24E-08,3.23E-08,3.23E-08,1.80E-08,9.83E-09,8.54E-09,1.65E-08,2.93E-08,4.74E-08,4.16E-09,1.18E-08,6.12E-08,5.96E-08,2.96E-08,2.96E-08,2.95E-08,3.42E-08,3.22E-08,1.80E-08,0.00912498,0,0.780319999,0.780319999
0.00E+00,3.35E-08,3.34E-08,3.34E-08,3.75E-08,1.01E-08,1.75E-08,2.01E-08,2.93E-08,3.92E-08,7.22E-09,1.93E-08,4.79E-08,4.66E-08,3.69E-08,3.69E-08,2.98E-08,3.39E-08,3.33E-08,3.75E-08,0.029548221,0,0.663340999,0.663340999
0.00E+00,3.36E-08,3.35E-08,3.35E-08,3.89E-08,1.16E-08,1.43E-08,2.16E-08,3.62E-08,3.13E-08,7.09E-09,6.68E-08,4.18E-08,4.06E-08,3.97E-08,3.97E-08,3.00E-08,3.39E-08,3.33E-08,3.89E-08,0.037857471,0,0.661311999,0.661311999
0.00E+00,3.35E-08,3.34E-08,3.34E-08,4.08E-08,8.49E-09,1.57E-08,2.57E-08,3.85E-08,3.03E-08,6.06E-09,4.43E-08,3.71E-08,3.71E-08,4.30E-08,4.30E-08,3.03E-08,3.39E-08,3.32E-08,4.08E-08,0.032921104,0,0.681203999,0.681203999
0.00E+00,3.32E-08,3.31E-08,3.31E-08,4.03E-08,9.69E-09,2.67E-08,3.70E-08,3.85E-08,3.04E-08,7.64E-09,1.02E-07,4.02E-08,3.91E-08,4.27E-08,4.27E-08,3.05E-08,3.36E-08,3.31E-08,4.03E-08,0.023067366,0,0.677295999,0.677295999
1.00E-02,3.28E-08,3.27E-08,3.27E-08,3.78E-08,9.28E-09,2.60E-08,4.10E-08,3.85E-08,2.88E-08,1.14E-08,6.55E-08,3.43E-08,3.34E-08,4.25E-08,4.25E-08,3.06E-08,3.36E-08,3.25E-08,3.78E-08,0.009178962,0,0.690021999,0.690021999
1.00E-02,3.35E-08,3.34E-08,3.34E-08,3.50E-08,1.44E-08,5.35E-08,6.31E-08,5.16E-08,3.81E-08,1.43E-08,3.25E-08,3.32E-08,3.31E-08,4.11E-08,4.11E-08,3.06E-08,3.39E-08,3.32E-08,3.50E-08,0,0,0.674260999,0.674260999
1.00E-02,3.42E-08,3.41E-08,3.41E-08,3.17E-08,1.58E-08,2.68E-08,6.98E-08,5.59E-08,4.42E-08,1.50E-08,5.95E-08,3.34E-08,3.57E-08,4.44E-08,4.44E-08,3.05E-08,3.44E-08,3.40E-08,3.17E-08,0,0,0.724562999,0.724562999
1.45E+01,3.61E-08,3.60E-08,3.60E-08,2.72E-08,1.93E-08,6.90E-08,8.49E-08,5.59E-08,5.79E-08,3.69E-08,3.03E-08,2.01E-08,4.44E-08,5.67E-08,5.67E-08,3.04E-08,3.44E-08,3.60E-08,2.72E-08,0,0,0.710638999,0.710638999
2.50E+01,3.57E-08,3.56E-08,3.56E-08,2.25E-08,2.45E-08,8.32E-08,9.35E-08,5.59E-08,8.19E-08,6.49E-08,4.45E-08,3.33E-08,6.37E-08,5.92E-08,5.92E-08,3.82E-08,3.44E-08,3.54E-08,2.25E-08,0,0,0.683061999,0.683061999
1.45E+01,3.56E-08,3.55E-08,3.55E-08,1.53E-08,2.55E-08,1.02E-07,9.38E-08,5.59E-08,8.02E-08,8.02E-08,1.19E-08,3.74E-08,6.29E-08,5.50E-08,5.50E-08,4.91E-08,3.39E-08,3.54E-08,1.53E-08,0,0,0.724968999,0.724968999
1.00E-02,3.57E-08,3.56E-08,3.56E-08,1.55E-08,3.63E-08,9.72E-08,8.34E-08,5.29E-08,7.15E-08,8.62E-08,3.68E-08,3.84E-08,6.08E-08,5.17E-08,5.17E-08,4.13E-08,3.25E-08,3.56E-08,1.55E-08,0,0,0.744264999,0.744264999
1.00E-02,3.63E-08,3.62E-08,3.62E-08,1.50E-08,3.71E-08,8.46E-08,6.67E-08,4.40E-08,5.89E-08,8.85E-08,6.39E-09,3.57E-08,5.12E-08,4.72E-08,4.72E-08,2.93E-08,3.14E-08,3.61E-08,1.50E-08,0,0,0.674546999,0.674546999
