input,2050_B_GP_midden,2050_B_GP_hoog,2050_W_KGG_midden,2050_W_KGG_hoog,2050_W_GP_midden,2050_W_GP_hoog
buildings_space_heater_heatpump_air_water_electricity_share,,,17.5,12.5,11.25,11.25
buildings_space_heater_hybrid_heatpump_air_water_electricity_share,,,35,35,41.25,39.85
capacity_of_energy_hydrogen_autothermal_reformer_must_run,,,,,9120,9120
capacity_of_energy_hydrogen_flexibility_p2g_electricity,,,,,10000,5000
capacity_of_energy_hydrogen_wind_turbine_offshore,,,,,0,0
capacity_of_energy_power_combined_cycle_hydrogen,,,,,18972,18972
capacity_of_energy_power_hybrid_wind_turbine_offshore,,,,,0,0
capacity_of_energy_power_nuclear_gen2_uranium_oxide,,,,,0,0
capacity_of_energy_power_nuclear_gen3_uranium_oxide,,,,,0,0
households_heater_heatpump_air_water_electricity_share,,,33.525,29.55,14.775,10.8
households_heater_hybrid_heatpump_air_water_electricity_share,,,22,22,40.75,40.75
buildings_space_heater_collective_heatpump_water_water_ts_electricity_share,,,22.5,22.5,22.5,18.9
buildings_space_heater_combined_hydrogen_share,,,,,0,0
buildings_space_heater_district_heating_ht_steam_hot_water_share,,,,,0,0
buildings_space_heater_district_heating_lt_steam_hot_water_share,,,,,0,0
buildings_space_heater_district_heating_mt_steam_hot_water_share,,,25,30,25,30
buildings_space_heater_electricity_share,,,,,0,0
buildings_space_heater_heatpump_air_water_network_gas_share,,,,,0,0
buildings_space_heater_heatpump_surface_water_water_ts_electricity_share,,,,,0,0
buildings_space_heater_hybrid_hydrogen_heatpump_air_water_electricity_share,,,,,0,0
buildings_space_heater_network_gas_share,,,,,0,0
buildings_space_heater_solar_thermal_share,,,,,0,0
buildings_space_heater_wood_pellets_share,,,,,0,0
households_heater_combined_hydrogen_share,,,,,0,0
households_heater_combined_network_gas_share,,,,,0,0
households_heater_district_heating_ht_steam_hot_water_share,,,,,0,0
households_heater_district_heating_lt_steam_hot_water_share,,,0.95,0.95,0.95,0.95
households_heater_district_heating_mt_steam_hot_water_share,,,23.025,27,23.025,27
households_heater_electricity_share,,,8,8,8,8
households_heater_heatpump_ground_water_electricity_share,,,12.5,12.5,12.5,12.5
households_heater_heatpump_pvt_electricity_share,,,,,0,0
households_heater_heatpump_surface_water_water_ts_electricity_share,,,,,0,0
households_heater_hybrid_hydrogen_heatpump_air_water_electricity_share,,,,,0,0
households_heater_network_gas_share,,,,,0,0
households_heater_wood_pellets_share,,,,,0,0
wtp_of_energy_heat_flexibility_p2h_boiler_electricity,,,49,49,49,49
capacity_of_buildings_solar_pv_solar_radiation,,,,,,
capacity_of_energy_battery_wind_turbine_inland,,,,,,
capacity_of_energy_flexibility_flow_batteries_electricity,,,,,,
capacity_of_energy_flexibility_mv_batteries_electricity,,,18900,15660,18900,15660
capacity_of_energy_hydrogen_autothermal_reformer_must_run,,,,,,
capacity_of_energy_hydrogen_flexibility_p2g_electricity,,,,,,
capacity_of_energy_hydrogen_wind_turbine_offshore,,,,,,
capacity_of_energy_power_combined_cycle_hydrogen,,,,,,
capacity_of_energy_power_hybrid_wind_turbine_offshore,,,,,,
capacity_of_energy_power_solar_pv_solar_radiation,,,,,,
capacity_of_energy_power_wind_turbine_coastal,,,,,,
capacity_of_energy_power_wind_turbine_inland,,,,,,
capacity_of_energy_power_wind_turbine_offshore,,,30930.39,30292.65,30930.39,30292.65
capacity_of_households_solar_pv_solar_radiation,,,,,,
volume_of_baseload_export_hydrogen,,,,,,
